OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,ASSESSORTERRITORY,VALUATIONAREA,YEARCONVERTED,GlobalID,SHAPE_Length,SHAPE_Area
13872,CASTLE SHANNON,BOROUGH,Castle Shannon Borough,South Hills Area,Keystone Oaks,18,11680,SH,1027.09692382,1.60483908,813,003090,6,South Hills Regional,South,South,1958,{D8A872AF-C402-40F9-AF3E-2466FBA45A5C},45949.0338974418,44482879.0577863
13877,KENNEDY,TOWNSHIP,Kennedy Township,Char-West,Montour,14,39312,AA,3535.63427734,5.52442789,919,003290,4,Southwest Regional,West,West,1975,{94F3EF4F-6BE3-41BB-B30B-4FCA1378A5B9},59233.108350559,154081902.26897
14248,BRIDGEVILLE,BOROUGH,Bridgeville Borough,Char-West,Chartiers Valley,20,8624,SH,693.3338623,1.0833342,811,003080,4,Southwest Regional,West,West,1965,{66268719-5F68-4006-84CB-264D855C3E9C},30385.467631044,30723692.3418618
14256,UPPER ST. CLAIR,MUNICIPALI,Upper St. Clair Municipality,South Hills Area,Upper St. Clair Area,20,79274,SH,6255.60693359,9.7743864,950,003575,5,South Hills Regional,South,South,1966,{AC96902E-6174-4981-8EFC-DA28B5457CCB},88076.4232798705,273504438.683011
14282,INGRAM,BOROUGH,Ingram Borough,Char-West,Montour,14,37000,AA,279.21697998,0.43627655,835,003280,12,Southwest Regional,West,West,1953,{1ACBCB2A-DF9C-411D-8FB5-2DC33A099B56},17781.8756060288,12098871.5509143
14291,STOWE,TOWNSHIP,Stowe Township,Char-West,Sto-Rox,14,74648,AA,1464.63146972,2.288486,949,003545,4,Southwest Regional,West,West,1974,{8395EE0C-10B7-4627-AEF7-998E9EE71639},43847.3317372682,-64026947.965
14306,MCKEES ROCKS,BOROUGH,McKees Rocks Borough,Char-West,Sto-Rox,14,46264,AA,717.44970703,1.12101519,842,003335,4,Southwest Regional,West,West,1953,{940A8C2B-8AEE-481C-B29F-597BB2366E4E},29287.9334715155,-31224107.7283463
14642,THORNBURG,BOROUGH,Thornburg Borough,Char-West,Montour,14,76560,AA,276.66604614,0.43229061,856,003560,4,Southwest Regional,West,West,1954,{F63F45F2-C748-4422-8EA5-2514EC172BA3},15221.0310686955,12208667.0649558
14645,CRAFTON,BOROUGH,Crafton Borough,Char-West,Carlynton,14,16848,AA,734.24633789,1.14725983,818,003125,4,Southwest Regional,West,West,1954,{D6E94D87-A500-4EC9-9FAB-E6E9110589A4},30867.401127252,31780584.136202
14655,ROSSLYN FARMS,BOROUGH,Rosslyn Farms Borough,Char-West,Carlynton,14,66320,AA,353.49093627,0.55232954,850,003480,4,Southwest Regional,West,West,1955,{C9844CAC-E013-4BA9-A623-5A80BEAEF3B3},23934.6238619611,15499640.0024098
14661,SCOTT,TOWNSHIP,Scott Township,South Hills Area,Chartiers Valley,18,68388,SH,2484.29443359,3.88170933,941,003485,4,Southwest Regional,West,West,1961,{B9C1F160-AE1F-45CA-AC27-B1D180B047D4},92000.2466304779,108499615.554683
14664,CARNEGIE,BOROUGH,Carnegie Borough,Char-West,Carlynton,18,11336,SH,1040.5480957,1.62585628,812,003085,4,Southwest Regional,West,West,1958,{52AC39C1-DDAA-4E94-979A-D624B24C0ACE},31985.1181855465,45199658.9647969
14678,CRESCENT,TOWNSHIP,Crescent Township,Char-West,Moon Area,20,17048,AA,1511.14416503,2.36116242,906,003130,1,Northwest Regional,West,West,1978,{9F8166A1-9D75-4868-BEBA-1574A8CD86DD},37099.4683905776,63387219.8986597
14692,MOON,TOWNSHIP,Moon Township,South Hills Area,Moon Area,20,50784,AA,15352.37011718,23.98807907,925,003355,1,Northwest Regional,West,West,1979,{6C4C3849-406D-468D-B7E5-FF537826B0A2},140979.223883492,673998421.876205
